#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2368999999.0ns,22,0,130550,1.448,2.369,4,0,0,0
+5178999999.0ns,22,1,6667126,2.369,5.179,5.19,0,5,0
+8236999999.0ns,22,2,3211901,5.179,8.237,6.132,0,5,0
+9610999999.0ns,22,3,1639262,8.237,9.611,8.758,0,5,0
+10969999999.0ns,22,4,1551364,9.611,10.97,11.399,0,5,0
+12044999999.0ns,22,5,581276,10.97,12.045,14.324,0,5,0
+13261999999.0ns,22,6,1077210,12.045,13.262,17.107,0,5,0
+15002999999.0ns,22,7,2947651,13.262,15.003,19.366,0,5,0
+19646999999.0ns,22,8,2231954,15.003,19.647,18.722,0,5,0
+21120999999.0ns,22,9,1973821,19.647,21.121,21.248,0,5,0
+22341999999.0ns,22,10,1110053,21.121,22.342,24.027,0,5,0
+23586999999.0ns,22,11,1131566,22.342,23.587,26.782,0,5,0
+24913999999.0ns,22,12,1411867,23.587,24.914,29.455,0,5,0
+26499999999.0ns,22,13,2342758,24.914,26.5,31.869,0,5,0
+29812999999.0ns,22,14,1849212,28.369,29.813,32.556,0,5,0
+33474999999.0ns,22,15,624663,32.369,33.475,32.894,0,5,0
+37546999999.0ns,22,16,869686,36.369,37.547,32.822,0,5,0
+41851999999.0ns,22,17,1991788,40.369,41.852,32.517,0,5,0
+45732999999.0ns,22,18,1529997,44.369,45.733,32.636,0,5,0
+49885999999.0ns,22,19,2096269,48.369,49.886,32.483,0,5,0
+54513999999.0ns,22,20,4306089,52.369,54.514,31.855,0,5,0
+57321574998.0ns,22,21,1944846,56.369,57.3216,33.0474,0,5,0
+61231235713.0ns,22,22,572542,60.369,61.2312,33.1378,0,5,0
+65420485713.0ns,22,23,1479681,64.369,65.4205,32.9485,0,5,0
+69471999999.0ns,22,24,606006,68.369,69.472,32.897,0,5,0
